date,guncontrolsearch
12/30/12,22
1/6/13,48
1/13/13,100
1/20/13,42
1/27/13,36
2/3/13,30
2/10/13,26
2/17/13,24
2/24/13,23
3/3/13,20
3/10/13,19
3/17/13,21
3/24/13,20
3/31/13,24
4/7/13,31
4/14/13,61
4/21/13,25
4/28/13,20
5/5/13,16
5/12/13,12
5/19/13,9
5/26/13,8
6/2/13,7
6/9/13,6
6/16/13,5
6/23/13,4
6/30/13,4
7/7/13,4
7/14/13,4
7/21/13,3
7/28/13,3
8/4/13,3
8/11/13,3
8/18/13,4
8/25/13,5
9/1/13,4
9/8/13,6
9/15/13,9
9/22/13,8
9/29/13,6
10/6/13,7
10/13/13,6
10/20/13,7
10/27/13,7
11/3/13,8
11/10/13,8
11/17/13,8
11/24/13,5
12/1/13,8
12/8/13,8
12/15/13,7
12/22/13,3
12/29/13,3
1/5/14,5
1/12/14,6
1/19/14,6
1/26/14,7
2/2/14,6
2/9/14,6
2/16/14,6
2/23/14,7
3/2/14,7
3/9/14,6
3/16/14,6
3/23/14,6
3/30/14,6
4/6/14,7
4/13/14,6
4/20/14,7
4/27/14,6
5/4/14,6
5/11/14,5
5/18/14,5
5/25/14,8
6/1/14,5
6/8/14,7
6/15/14,4
6/22/14,4
6/29/14,3
7/6/14,3
7/13/14,3
7/20/14,3
7/27/14,3
8/3/14,2
8/10/14,3
8/17/14,3
8/24/14,3
8/31/14,3
9/7/14,4
9/14/14,4
9/21/14,5
9/28/14,5
10/5/14,5
10/12/14,5
10/19/14,6
10/26/14,6
11/2/14,8
11/9/14,6
11/16/14,6
11/23/14,4
11/30/14,6
12/7/14,6
12/14/14,4
12/21/14,2
12/28/14,2
1/4/15,4
1/11/15,4
1/18/15,4
1/25/15,4
2/1/15,4
2/8/15,4
2/15/15,4
2/22/15,5
3/1/15,5
3/8/15,5
3/15/15,4
3/22/15,5
3/29/15,4
4/5/15,4
4/12/15,6
4/19/15,5
4/26/15,5
5/3/15,5
5/10/15,4
5/17/15,4
5/24/15,3
5/31/15,4
6/7/15,3
6/14/15,7
6/21/15,9
6/28/15,5
7/5/15,4
7/12/15,4
7/19/15,6
7/26/15,4
8/2/15,5
8/9/15,4
8/16/15,3
8/23/15,8
8/30/15,6
9/6/15,5
9/13/15,6
9/20/15,6
9/27/15,19
10/4/15,30
10/11/15,17
10/18/15,12
10/25/15,10
11/1/15,10
11/8/15,11
11/15/15,11
11/22/15,6
11/29/15,27
12/6/15,25
12/13/15,13
12/20/15,7
12/27/15,10
1/3/16,62
1/10/16,14
1/17/16,9
1/24/16,8
1/31/16,8
2/7/16,8
2/14/16,8
2/21/16,8
2/28/16,9
3/6/16,8
3/13/16,9
3/20/16,6
3/27/16,5
4/3/16,6
4/10/16,6
4/17/16,6
4/24/16,7
5/1/16,6
5/8/16,5
5/15/16,5
5/22/16,5
5/29/16,4
6/5/16,4
6/12/16,43
6/19/16,37
6/26/16,9
7/3/16,9
7/10/16,6
7/17/16,6
7/24/16,6
7/31/16,4
8/7/16,4
8/14/16,3
8/21/16,3
8/28/16,4
9/4/16,4
9/11/16,5
9/18/16,6
9/25/16,7
10/2/16,6
10/9/16,7
10/16/16,8
10/23/16,8
10/30/16,8
11/6/16,11
11/13/16,7
11/20/16,4
11/27/16,6
12/4/16,5
12/11/16,4
12/18/16,3
12/25/16,2
1/1/17,3
1/8/17,4
1/15/17,4
1/22/17,4
1/29/17,5
2/5/17,4
2/12/17,4
2/19/17,4
2/26/17,4
3/5/17,4
3/12/17,3
3/19/17,3
3/26/17,3
4/2/17,3
4/9/17,3
4/16/17,4
4/23/17,4
4/30/17,4
5/7/17,3
5/14/17,3
5/21/17,2
5/28/17,2
6/4/17,2
6/11/17,5
6/18/17,2
6/25/17,2
7/2/17,2
7/9/17,2
7/16/17,1
7/23/17,1
7/30/17,1
8/6/17,1
8/13/17,1
8/20/17,1
8/27/17,1
9/3/17,2
9/10/17,2
9/17/17,2
9/24/17,2
10/1/17,38
10/8/17,11
10/15/17,7
10/22/17,7
