date,sentences
"2013-01-01",6390
"2013-01-08",11639
"2013-01-15",12706
"2013-01-22",8098
"2013-01-29",9216
"2013-02-05",8251
"2013-02-12",8201
"2013-02-19",6600
"2013-02-26",6642
"2013-03-05",7082
"2013-03-12",6852
"2013-03-19",8227
"2013-03-26",7119
"2013-04-02",9688
"2013-04-09",10364
"2013-04-16",8325
"2013-04-23",5749
"2013-04-30",7161
"2013-05-07",5770
"2013-05-14",4993
"2013-05-21",4269
"2013-05-28",6000
"2013-06-04",6357
"2013-06-11",8171
"2013-06-18",6472
"2013-06-25",6324
"2013-07-02",5491
"2013-07-09",6420
"2013-07-16",6737
"2013-07-23",5485
"2013-07-30",5682
"2013-08-06",5553
"2013-08-13",4866
"2013-08-20",5821
"2013-08-27",4681
"2013-09-03",5877
"2013-09-10",7751
"2013-09-17",9304
"2013-09-24",6679
"2013-10-01",5593
"2013-10-08",5807
"2013-10-15",5404
"2013-10-22",6351
"2013-10-29",5178
"2013-11-05",6199
"2013-11-12",5521
"2013-11-19",5622
"2013-11-26",5126
"2013-12-03",6263
"2013-12-10",7088
"2013-12-17",5067
"2013-12-24",3609
"2013-12-31",4941
"2014-01-07",6221
"2014-01-14",5886
"2014-01-21",5938
"2014-01-28",5751
"2014-02-04",5349
"2014-02-11",5570
"2014-02-18",6166
"2014-02-25",6524
"2014-03-04",6827
"2014-03-11",6860
"2014-03-18",5999
"2014-03-25",6016
"2014-04-01",6132
"2014-04-08",6233
"2014-04-15",7133
"2014-04-22",7430
"2014-04-29",7135
"2014-05-06",7670
"2014-05-13",6909
"2014-05-20",6979
"2014-05-27",8406
"2014-06-03",7315
"2014-06-10",9269
"2014-06-17",7846
"2014-06-24",8039
"2014-07-01",7945
"2014-07-08",7459
"2014-07-15",8120
"2014-07-22",8039
"2014-07-29",8534
"2014-08-05",8109
"2014-08-12",8250
"2014-08-19",8219
"2014-08-26",8665
"2014-09-02",8339
"2014-09-09",8069
"2014-09-16",8692
"2014-09-23",9345
"2014-09-30",9836
"2014-10-07",10055
"2014-10-14",10579
"2014-10-21",10080
"2014-10-28",9773
"2014-11-04",10223
"2014-11-11",7724
"2014-11-18",7861
"2014-11-25",7262
"2014-12-02",7645
"2014-12-09",7907
"2014-12-16",6930
"2014-12-23",5525
"2014-12-30",6158
"2015-01-06",7364
"2015-01-13",7034
"2015-01-20",7438
"2015-01-27",7257
"2015-02-03",6456
"2015-02-10",6921
"2015-02-17",6703
"2015-02-24",7568
"2015-03-03",7333
"2015-03-10",6864
"2015-03-17",7276
"2015-03-24",6885
"2015-03-31",7127
"2015-04-07",7787
"2015-04-14",7610
"2015-04-21",6866
"2015-04-28",6598
"2015-05-05",6722
"2015-05-12",7579
"2015-05-19",6938
"2015-05-26",6762
"2015-06-02",7633
"2015-06-09",8185
"2015-06-16",11739
"2015-06-23",9310
"2015-06-30",7793
"2015-07-07",9817
"2015-07-14",7819
"2015-07-21",9248
"2015-07-28",9264
"2015-08-04",9582
"2015-08-11",8074
"2015-08-18",8238
"2015-08-25",11221
"2015-09-01",7253
"2015-09-08",8144
"2015-09-15",8710
"2015-09-22",8298
"2015-09-29",18442
"2015-10-06",16445
"2015-10-13",13423
"2015-10-20",12759
"2015-10-27",11484
"2015-11-03",10502
"2015-11-10",10832
"2015-11-17",9850
"2015-11-24",8281
"2015-12-01",19791
"2015-12-08",16034
"2015-12-15",11305
"2015-12-22",8635
"2015-12-29",11487
"2016-01-05",18590
"2016-01-12",12927
"2016-01-19",11186
"2016-01-26",10770
"2016-02-02",10857
"2016-02-09",9854
"2016-02-16",10841
"2016-02-23",10465
"2016-03-01",9403
"2016-03-08",9066
"2016-03-15",8023
"2016-03-22",7887
"2016-03-29",8691
"2016-04-05",8022
"2016-04-12",8797
"2016-04-19",8763
"2016-04-26",9308
"2016-05-03",8827
"2016-05-10",9255
"2016-05-17",10568
"2016-05-24",7550
"2016-05-31",8693
"2016-06-07",10666
"2016-06-14",17078
"2016-06-21",14361
"2016-06-28",9087
"2016-07-05",11351
"2016-07-12",10168
"2016-07-19",8911
"2016-07-26",10056
"2016-08-02",8747
"2016-08-09",9232
"2016-08-16",8603
"2016-08-23",8150
"2016-08-30",7382
"2016-09-06",7801
"2016-09-13",9126
"2016-09-20",10177
"2016-09-27",9609
"2016-10-04",8136
"2016-10-11",8893
"2016-10-18",9010
"2016-10-25",8327
"2016-11-01",9609
"2016-11-08",9200
"2016-11-15",8375
"2016-11-22",6886
"2016-11-29",9953
"2016-12-06",9256
"2016-12-13",8768
"2016-12-20",5883
"2016-12-27",5899
"2017-01-03",9176
"2017-01-10",8017
"2017-01-17",9033
"2017-01-24",7876
"2017-01-31",7701
"2017-02-07",7633
"2017-02-14",8778
"2017-02-21",8559
"2017-02-28",7336
"2017-03-07",7652
"2017-03-14",8931
"2017-03-21",8323
"2017-03-28",7398
"2017-04-04",7801
"2017-04-11",7095
"2017-04-18",7438
"2017-04-25",8597
"2017-05-02",8872
"2017-05-09",7775
"2017-05-16",7770
"2017-05-23",7852
"2017-05-30",8489
"2017-06-06",8287
"2017-06-13",9476
"2017-06-20",8687
"2017-06-27",7980
"2017-07-04",7325
"2017-07-11",7305
"2017-07-18",7710
"2017-07-25",7302
"2017-08-01",6927
"2017-08-08",6107
"2017-08-15",5622
"2017-08-22",6394
"2017-08-29",6504
"2017-09-05",6742
"2017-09-12",7609
"2017-09-19",7835
"2017-09-26",10208
"2017-10-03",16011
"2017-10-10",8600
"2017-10-17",8108
"2017-10-24",5311
